Order ID,Order Date,Item Name,Quantity,Product Price,Total products
25583,03/08/2019 21:58,Tandoori Mixed Grill,1,11.95,12
25583,03/08/2019 21:58,Madras Sauce,1,3.95,12
25583,03/08/2019 21:58,Mushroom Rice,2,3.95,12
25583,03/08/2019 21:58,Garlic Naan,1,2.95,12
25583,03/08/2019 21:58,Paratha,1,2.95,12
25583,03/08/2019 21:58,Plain Rice,1,2.95,12
25583,03/08/2019 21:58,Prawn Puree,1,4.95,12
25583,03/08/2019 21:58,Plain Papadum,1,0.8,12
25583,03/08/2019 21:58,Mango Chutney,2,0.5,12
25583,03/08/2019 21:58,Onion Chutney,1,0.5,12
25583,03/08/2019 21:58,Mint Sauce,1,0.5,12
25583,03/08/2019 21:58,Chicken Tikka Masala,1,8.95,12
25582,03/08/2019 20:33,Tandoori King Prawn Masala,1,12.95,5
25582,03/08/2019 20:33,Pilau Rice,1,2.95,5
25582,03/08/2019 20:33,Peshwari Naan,1,2.95,5
25582,03/08/2019 20:33,Bottle Coke,1,2.95,5
25582,03/08/2019 20:33,Butter Chicken,1,8.95,5
25581,03/08/2019 20:01,Saag Paneer,1,5.95,5
25581,03/08/2019 20:01,Chapati,1,1.95,5
25581,03/08/2019 20:01,Onion Bhaji,1,3.95,5
25581,03/08/2019 20:01,Pilau Rice,1,2.95,5
25581,03/08/2019 20:01,Plain Papadum,1,0.8,5
25580,03/08/2019 19:46,Tandoori Fish Karahi,1,11.95,4
25580,03/08/2019 19:46,Aloo Gobi,2,5.95,4
25580,03/08/2019 19:46,Plain Rice,1,2.95,4
25580,03/08/2019 19:46,Chicken Chaat,1,4.95,4
25579,03/08/2019 19:36,Madras - Chicken Tikka,1,8.95,4
25579,03/08/2019 19:36,Mini Bhaji,1,3.95,4
25579,03/08/2019 19:36,Plain Rice,2,2.95,4
25579,03/08/2019 19:36,Naan,1,2.5,4
25578,03/08/2019 19:31,Vindaloo - Chicken Tikka,1,8.95,2
25578,03/08/2019 19:31,Pilau Rice,1,2.95,2
25577,03/08/2019 19:27,Sheek Kebab,1,4.95,3
25577,03/08/2019 19:27,Methi - Chicken,1,8.95,3
25577,03/08/2019 19:27,Pilau Rice,1,2.95,3
25576,03/08/2019 19:24,Tandoori Fish (Main),1,10.95,6
25576,03/08/2019 19:24,Tandoori Mixed Grill,1,11.95,6
25576,03/08/2019 19:24,Saag Bhajee,1,5.95,6
25576,03/08/2019 19:24,Tarka Dall,2,5.95,6
25576,03/08/2019 19:24,Chapati,2,1.95,6
25576,03/08/2019 19:24,Plain Rice,1,2.95,6
25575,03/08/2019 19:16,COBRA ( LARGE ),1,5.5,5
25575,03/08/2019 19:16,Tandoori Fish,1,5.95,5
25575,03/08/2019 19:16,Peshwari Naan,1,2.95,5
25575,03/08/2019 19:16,Tandoori Fish Karahi,1,11.95,5
25575,03/08/2019 19:16,Mushroom Rice,1,3.95,5
25574,03/08/2019 19:13,Dhansak - Chicken Tikka,1,8.95,9
25574,03/08/2019 19:13,Chicken Tikka Jalfrezi,1,8.95,9
25574,03/08/2019 19:13,Chicken Tikka (Main),1,8.95,9
25574,03/08/2019 19:13,Bombay Aloo,1,5.95,9
25574,03/08/2019 19:13,Naan,2,2.5,9
25574,03/08/2019 19:13,Paratha,1,2.95,9
25574,03/08/2019 19:13,Pilau Rice,2,2.95,9
25574,03/08/2019 19:13,Plain Papadum,3,0.8,9
25574,03/08/2019 19:13,Red Sauce,2,0.5,9
25573,03/08/2019 19:11,Onion Bhaji,1,3.95,8
25573,03/08/2019 19:11,Plain Papadum,1,0.8,8
25573,03/08/2019 19:11,Mint Sauce,1,0.5,8
25573,03/08/2019 19:11,Tandoori Fish (Main),1,10.95,8
25573,03/08/2019 19:11,King Prawn Balti,1,12.95,8
25573,03/08/2019 19:11,Cauliflower Bhajee,1,5.95,8
25573,03/08/2019 19:11,Bhindi Bhajee,1,5.95,8
25573,03/08/2019 19:11,Stuffed Paratha,1,3.95,8
25572,03/08/2019 19:04,Onion Bhaji,1,3.95,8
25572,03/08/2019 19:04,Plain Papadum,4,0.8,8
25572,03/08/2019 19:04,Mango Chutney,1,0.5,8
25572,03/08/2019 19:04,Onion Chutney,1,0.5,8
25572,03/08/2019 19:04,Vegetable Curry,1,5.95,8
25572,03/08/2019 19:04,Rogon - Chicken,1,8.95,8
25572,03/08/2019 19:04,Naan,1,2.5,8
25572,03/08/2019 19:04,Pilau Rice,1,2.95,8
25571,03/08/2019 19:04,Chicken Pakora,1,4.95,4
25571,03/08/2019 19:04,Tandoori Chicken (Main),1,8.95,4
25571,03/08/2019 19:04,Lamb Tikka Balti,1,10.95,4
25571,03/08/2019 19:04,Bhindi Bhajee,1,5.95,4
25570,03/08/2019 18:58,Spicy Papadum,1,0.8,5
25570,03/08/2019 18:58,Tandoori Chicken (Main),1,8.95,5
25570,03/08/2019 18:58,Paneer Tikka Masala,1,8.95,5
25570,03/08/2019 18:58,Pilau Rice,1,2.95,5
25570,03/08/2019 18:58,Special Fried Rice,1,3.95,5
25569,03/08/2019 18:57,Cylon - Chicken,1,8.95,12
25569,03/08/2019 18:57,Butter Chicken,1,8.95,12
25569,03/08/2019 18:57,Lamb Hari Mirch,1,8.95,12
25569,03/08/2019 18:57,Naan,2,2.5,12
25569,03/08/2019 18:57,Peshwari Naan,1,2.95,12
25569,03/08/2019 18:57,Pilau Rice,1,2.95,12
25569,03/08/2019 18:57,Plain Papadum,1,0.8,12
25569,03/08/2019 18:57,Spicy Papadum,2,0.8,12
25569,03/08/2019 18:57,Mango Chutney,1,0.5,12
25569,03/08/2019 18:57,Mint Sauce,1,0.5,12
25569,03/08/2019 18:57,Bombay Aloo,1,5.95,12
25569,03/08/2019 18:57,Aloo Gobi,1,5.95,12
25568,03/08/2019 18:57,Lamb Balti,1,9.95,7
25568,03/08/2019 18:57,Onion Rice,1,3.95,7
25568,03/08/2019 18:57,Plain Papadum,4,0.8,7
25568,03/08/2019 18:57,Tandoori Roti,2,2.5,7
25568,03/08/2019 18:57,Chana Masala,1,5.95,7
25568,03/08/2019 18:57,Tarka Dall,1,5.95,7
25568,03/08/2019 18:57,Naan,1,2.5,7
